127.0.0.1 - - [22/Dec/2020:14:03:56 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:11 +0630] "GET /06-EL-JSTL/ HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:15 +0630] "GET /06-EL-JSTL/common/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:15 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:15 +0630] "GET /06-EL-JSTL/common/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:15 +0630] "GET /06-EL-JSTL/common/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:15 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:17 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:22 +0630] "GET /06-EL-JSTL/add-student HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:04:22 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:06:10 +0630] "POST /06-EL-JSTL/add-student HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:06:10 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:06:10 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 200 134071
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:06:10 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:07:04 +0630] "POST /06-EL-JSTL/add-student HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:07:04 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:07:04 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 200 134071
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:07:43 +0630] "POST /06-EL-JSTL/add-student HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:07:43 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:07:43 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 200 134071
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:01 +0630] "POST /06-EL-JSTL/add-student HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:01 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:01 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 200 134071
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:14 +0630] "GET /06-EL-JSTL/ HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:14 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:36 +0630] "GET /06-EL-JSTL/ HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:36 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:38 +0630] "GET /06-EL-JSTL/studentlist HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:38 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:38 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:41 +0630] "GET /06-EL-JSTL/studentlist HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:41 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:46 +0630] "GET /06-EL-JSTL/add-student HTTP/1.1" 200 3247
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:08:47 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:06 +0630] "POST /06-EL-JSTL/add-student HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:07 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:07 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:07 +0630] "GET /06-EL-JSTL/studentImg/2uhoup7dsou13xtjgfj83dnsr.jpg HTTP/1.1" 200 515451
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:07 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:38 +0630] "POST /06-EL-JSTL/add-student HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:38 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:38 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:10:38 +0630] "GET /06-EL-JSTL/studentImg/2uhoup7dsou13xtjgfj83dnsr.jpg HTTP/1.1" 200 515451
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:11:20 +0630] "POST /06-EL-JSTL/add-student HTTP/1.1" 200 4869
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:11:20 +0630] "GET /06-EL-JSTL/common/js/bootstrap.bundle.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:11:20 +0630] "GET /06-EL-JSTL/studentImg/weiwuxian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:14:11:20 +0630] "GET /06-EL-JSTL/studentImg/2uhoup7dsou13xtjgfj83dnsr.jpg HTTP/1.1" 200 515451
